,Artist,Title,Writers,Producer,Year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Smokey Robinson and the Miracles,Shop Around,"Berry Gordy, Robinson",Gordy,60,77Z1pij1PpjhlzZnzBM86G,14,0.562,0.689,7,-5.66,1,0.0293,0.607,0.0,0.753,0.875,132.448,audio_features,77Z1pij1PpjhlzZnzBM86G,spotify:track:77Z1pij1PpjhlzZnzBM86G,https://api.spotify.com/v1/tracks/77Z1pij1PpjhlzZnzBM86G,https://api.spotify.com/v1/audio-analysis/77Z1pij1PpjhlzZnzBM86G,170560,4
1,Weezer,Buddy Holly,Rivers Cuomo,Ric Ocasek,94,3mwvKOyMmG77zZRunnxp9E,73,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,audio_features,3mwvKOyMmG77zZRunnxp9E,spotify:track:3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/tracks/3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E,159227,4
2,The Rolling Stones,Miss You,"Mick Jagger, Keith Richards",The Glimmer Twins,78,3hJLKtTpgct9Y9wKww0BiR,69,0.795,0.71,9,-4.746,0,0.0392,0.443,0.0215,0.344,0.845,109.689,audio_features,3hJLKtTpgct9Y9wKww0BiR,spotify:track:3hJLKtTpgct9Y9wKww0BiR,https://api.spotify.com/v1/tracks/3hJLKtTpgct9Y9wKww0BiR,https://api.spotify.com/v1/audio-analysis/3hJLKtTpgct9Y9wKww0BiR,288667,4
3,Bruce Springsteen,The Rising,Springsteen,Brendan O'Brien,02,2czBvzOv3TvnyoW7Ozo7fP,57,0.499,0.761,10,-6.381,1,0.0324,0.0655,0.0,0.0895,0.326,110.186,audio_features,2czBvzOv3TvnyoW7Ozo7fP,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,https://api.spotify.com/v1/tracks/2czBvzOv3TvnyoW7Ozo7fP,https://api.spotify.com/v1/audio-analysis/2czBvzOv3TvnyoW7Ozo7fP,287040,4
4,Jackson Browne,Running on Empty,Browne,Browne,77,6aqm56xP40foYBBtAWWrnY,68,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,audio_features,6aqm56xP40foYBBtAWWrnY,spotify:track:6aqm56xP40foYBBtAWWrnY,https://api.spotify.com/v1/tracks/6aqm56xP40foYBBtAWWrnY,https://api.spotify.com/v1/audio-analysis/6aqm56xP40foYBBtAWWrnY,291893,4
5,The Rolling Stones,Brown Sugar,"Mick Jagger, Keith Richards",Jimmy Miller,71,61UuPxxYUvacEH6SHIK3sU,72,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,audio_features,61UuPxxYUvacEH6SHIK3sU,spotify:track:61UuPxxYUvacEH6SHIK3sU,https://api.spotify.com/v1/tracks/61UuPxxYUvacEH6SHIK3sU,https://api.spotify.com/v1/audio-analysis/61UuPxxYUvacEH6SHIK3sU,228667,4
6,R. Kelly,Ignition (Remix),Kelly,Kelly,02,5dNfHmqgr128gMY2tc5CeJ,72,0.795,0.523,1,-7.165,1,0.0423,0.061,0.0,0.0914,0.855,133.024,audio_features,5dNfHmqgr128gMY2tc5CeJ,spotify:track:5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/audio-analysis/5dNfHmqgr128gMY2tc5CeJ,186067,4
7,MGMT,Time to Pretend,"Ben Goldwasser, Andrew VanWyngarden",Dave Fridmann,08,4iG2gAwKXsOcijVaVXzRPW,73,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,audio_features,4iG2gAwKXsOcijVaVXzRPW,spotify:track:4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/tracks/4iG2gAwKXsOcijVaVXzRPW,https://api.spotify.com/v1/audio-analysis/4iG2gAwKXsOcijVaVXzRPW,261000,3
8,Gloria Gaynor,I Will Survive,"Dino Fekaris, Freddie Perren","Fekaris, Perren",78,7cv28LXcjAC3GsXbUvXKbX,72,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,audio_features,7cv28LXcjAC3GsXbUvXKbX,spotify:track:7cv28LXcjAC3GsXbUvXKbX,https://api.spotify.com/v1/tracks/7cv28LXcjAC3GsXbUvXKbX,https://api.spotify.com/v1/audio-analysis/7cv28LXcjAC3GsXbUvXKbX,198066,4
9,Joan Jett and the Blackhearts,I Love Rock 'N Roll,"Jake Hooker, Alan Merrill","Ritchie Cordell, Kenny Laguna",82,2Cdvbe2G4hZsnhNMKyGrie,74,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,audio_features,2Cdvbe2G4hZsnhNMKyGrie,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/audio-analysis/2Cdvbe2G4hZsnhNMKyGrie,175173,4
